week,week_start,week_end,team,opponent,H,AB,R,HR,RBI,SB,AVG,OPS,OPS_WEIGHT,IP,SV,K,ERA,WHIP,KBB,QS
15,2026-06-29,2026-07-05,STANTONIOUS,Maestro Max,68,233,36,12,37,1,0.292,0.87,258.888889,90.0,5,103,5.4,1.38,2.64,5
15,2026-06-29,2026-07-05,Maestro Max,STANTONIOUS,68,242,36,14,52,6,0.281,0.86,268.888889,95.2,7,73,3.86,1.15,3.17,5
15,2026-06-29,2026-07-05,Bleacherboysfan1,Springers Dingers,72,253,48,16,45,10,0.285,0.9,281.111111,97.2,2,102,3.96,1.1,4.43,10
15,2026-06-29,2026-07-05,Springers Dingers,Bleacherboysfan1,65,258,34,14,44,8,0.252,0.775,286.666667,76.0,4,75,4.14,1.24,3.75,4
15,2026-06-29,2026-07-05,NY ZOHRAN 🔥,Vaterlaus,61,268,39,14,34,7,0.228,0.708,297.777778,90.0,4,89,4.9,1.43,2.41,6
15,2026-06-29,2026-07-05,Vaterlaus,NY ZOHRAN 🔥,76,268,51,20,47,8,0.284,0.932,297.777778,92.0,0,80,5.48,1.42,2.76,5
15,2026-06-29,2026-07-05,Andrethegiant,The Big Kahuna,71,262,35,9,28,2,0.271,0.763,291.111111,79.2,0,86,4.41,1.17,4.78,7
15,2026-06-29,2026-07-05,The Big Kahuna,Andrethegiant,66,239,46,10,38,1,0.276,0.811,265.555556,65.1,5,71,3.03,1.32,2.54,3
16,2026-07-06,2026-07-12,STANTONIOUS,Bleacherboysfan1,64,269,44,14,43,9,0.238,0.769,298.888889,114.2,3,108,4.32,1.21,3.09,9
16,2026-07-06,2026-07-12,Bleacherboysfan1,STANTONIOUS,52,234,34,9,35,4,0.222,0.711,260.0,100.0,4,92,3.87,1.14,2.88,6
16,2026-07-06,2026-07-12,Maestro Max,The Big Kahuna,62,250,29,7,29,4,0.248,0.742,277.777778,89.1,4,97,3.63,1.13,2.94,8
16,2026-07-06,2026-07-12,The Big Kahuna,Maestro Max,65,244,33,7,25,3,0.266,0.754,271.111111,89.0,5,89,4.96,1.4,2.41,6
16,2026-07-06,2026-07-12,Springers Dingers,Vaterlaus,58,258,42,14,40,2,0.225,0.749,286.666667,65.2,2,63,3.97,1.36,3.5,4
16,2026-07-06,2026-07-12,Vaterlaus,Springers Dingers,67,246,40,14,39,8,0.272,0.854,273.333333,121.0,0,126,3.94,1.34,2.86,6
16,2026-07-06,2026-07-12,Andrethegiant,NY ZOHRAN 🔥,63,252,36,8,33,2,0.25,0.712,280.0,71.0,0,63,5.7,1.46,2.17,3
16,2026-07-06,2026-07-12,NY ZOHRAN 🔥,Andrethegiant,72,289,35,10,30,6,0.249,0.711,321.111111,84.0,8,100,3.0,0.99,4.35,7
17,2026-07-13,2026-07-26,STANTONIOUS,The Big Kahuna,86,378,41,6,33,9,0.228,0.641,420.0,135.0,7,151,3.67,1.21,3.68,10
17,2026-07-13,2026-07-26,The Big Kahuna,STANTONIOUS,78,364,44,9,27,7,0.214,0.592,404.444444,97.0,5,88,3.53,1.26,2.75,8
17,2026-07-13,2026-07-26,Bleacherboysfan1,Vaterlaus,91,369,61,18,52,3,0.247,0.803,410.0,142.2,4,144,2.9,1.02,3.69,17
17,2026-07-13,2026-07-26,Vaterlaus,Bleacherboysfan1,108,389,67,18,56,9,0.278,0.835,432.222222,176.1,0,180,3.67,1.19,3.6,12
17,2026-07-13,2026-07-26,NY ZOHRAN 🔥,Maestro Max,110,401,60,24,70,8,0.274,0.862,445.555556,129.2,6,127,3.4,1.12,2.95,11
17,2026-07-13,2026-07-26,Maestro Max,NY ZOHRAN 🔥,101,362,60,17,60,12,0.279,0.838,402.222222,130.0,6,157,3.53,1.09,4.91,11
17,2026-07-13,2026-07-26,Andrethegiant,Springers Dingers,91,369,38,11,48,7,0.247,0.713,410.0,115.0,0,118,3.13,1.17,3.81,10
17,2026-07-13,2026-07-26,Springers Dingers,Andrethegiant,100,342,58,27,59,6,0.292,0.946,380.0,96.0,9,94,2.44,0.94,3.48,9
